participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial3,2-back,1,6,0,0,0.005024,0,,0,NOT_EVALUATED
grupo0_trial3,2-back,2,8,0,0,1.8133,0,,0,NOT_EVALUATED
grupo0_trial3,2-back,3,9,0,1,3.623687,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,4,8,1,1,5.436808,1,722.93,0,HIT
grupo0_trial3,2-back,5,1,0,1,7.241009,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,6,5,0,1,9.049505,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,7,3,0,1,10.858825,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,8,1,0,1,12.670438,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,9,6,0,1,14.481485,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,10,5,0,1,16.291866,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,11,6,1,1,18.10275,1,888.11,0,HIT
grupo0_trial3,2-back,12,5,1,1,19.912531,0,,0,MISS
grupo0_trial3,2-back,13,8,0,1,21.715763,1,43.31,0,FALSE_ALARM
grupo0_trial3,2-back,14,9,0,1,23.524208,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,15,9,0,1,25.338177,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,16,9,1,1,27.1525,1,742.42,0,HIT
grupo0_trial3,2-back,17,9,1,1,28.964189,1,850.71,0,HIT
grupo0_trial3,2-back,18,2,0,1,30.769748,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,19,4,0,1,32.577989,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,20,5,0,1,34.382411,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,21,9,0,1,36.189747,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,22,9,0,1,37.99988,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,23,3,0,1,39.811827,0,,0,CORRECT_REJECTION
grupo0_trial3,2-back,24,9,1,1,41.621315,1,921.83,0,HIT
