participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial3,0-back,1,9,0,1,0.005029,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,2,1,0,1,1.813116,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,3,5,0,1,3.625981,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,4,2,0,1,5.437609,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,5,8,1,1,7.243638,1,667.74,0,HIT
grupo0_trial3,0-back,6,4,0,1,9.049422,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,7,5,0,1,10.858493,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,8,4,0,1,12.667787,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,9,8,1,1,14.473765,1,549.68,0,HIT
grupo0_trial3,0-back,10,6,0,1,16.285726,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,11,9,0,1,18.088525,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,12,8,1,1,19.893955,1,465.47,0,HIT
grupo0_trial3,0-back,13,8,1,1,21.707568,1,579.82,0,HIT
grupo0_trial3,0-back,14,7,0,1,23.513536,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,15,3,0,1,25.32309,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,16,9,0,1,27.131518,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,17,8,1,1,28.930539,1,436.84,0,HIT
grupo0_trial3,0-back,18,8,1,1,30.745553,1,453.85,0,HIT
grupo0_trial3,0-back,19,7,0,1,32.550572,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,20,7,0,1,34.359597,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,21,7,0,1,36.162071,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,22,7,0,1,37.969857,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,23,7,0,1,39.777882,0,,0,CORRECT_REJECTION
grupo0_trial3,0-back,24,6,0,1,41.588654,0,,0,CORRECT_REJECTION
