participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial0,0-back,1,9,0,1,0.004921,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,2,4,0,1,1.814693,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,3,1,0,1,3.619066,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,4,1,0,1,5.42702,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,5,3,0,1,7.234927,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,6,7,0,1,9.044263,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,7,8,1,1,10.856003,1,513.49,0,HIT
grupo0_trial0,0-back,8,8,1,1,12.669326,1,708.14,0,HIT
grupo0_trial0,0-back,9,9,0,1,14.483137,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,10,9,0,1,16.285276,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,11,8,1,1,18.099343,1,462.15,0,HIT
grupo0_trial0,0-back,12,7,0,1,19.912587,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,13,8,1,1,21.719918,1,529.69,0,HIT
grupo0_trial0,0-back,14,2,0,1,23.529404,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,15,9,0,1,25.331252,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,16,7,0,1,27.141613,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,17,4,0,1,28.953106,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,18,8,1,1,30.764086,1,541.65,0,HIT
grupo0_trial0,0-back,19,8,1,1,32.573473,1,556.03,0,HIT
grupo0_trial0,0-back,20,1,0,1,34.38469,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,21,5,0,1,36.197194,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,22,2,0,1,38.008465,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,23,4,0,1,39.817293,0,,0,CORRECT_REJECTION
grupo0_trial0,0-back,24,2,0,1,41.63114,0,,0,CORRECT_REJECTION
