participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial0,2-back,1,2,0,0,0.006801,0,,0,NOT_EVALUATED
grupo0_trial0,2-back,2,3,0,0,1.815989,0,,0,NOT_EVALUATED
grupo0_trial0,2-back,3,1,0,1,3.628647,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,4,6,0,1,5.431913,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,5,2,0,1,7.244377,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,6,7,0,1,9.054302,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,7,5,0,1,10.864989,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,8,9,0,1,12.668478,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,9,5,1,1,14.471556,0,,0,MISS
grupo0_trial0,2-back,10,3,0,1,16.285828,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,11,1,0,1,18.08692,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,12,2,0,1,19.886349,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,13,1,1,1,21.691619,1,926.32,0,HIT
grupo0_trial0,2-back,14,3,0,1,23.509365,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,15,1,1,1,25.316008,1,892.98,0,HIT
grupo0_trial0,2-back,16,3,1,1,27.122953,0,,0,MISS
grupo0_trial0,2-back,17,1,1,1,28.93796,1,808.43,0,HIT
grupo0_trial0,2-back,18,3,1,1,30.742728,1,923.43,0,HIT
grupo0_trial0,2-back,19,4,0,1,32.551137,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,20,1,0,1,34.351508,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,21,3,0,1,36.158177,1,947.71,0,FALSE_ALARM
grupo0_trial0,2-back,22,8,0,1,37.95879,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,23,9,0,1,39.760543,0,,0,CORRECT_REJECTION
grupo0_trial0,2-back,24,6,0,1,41.573973,0,,0,CORRECT_REJECTION
