participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial2,Pasivo,1,3,0,0,0.004876,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,2,7,0,0,1.815398,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,3,4,0,0,3.626248,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,4,9,0,0,5.434107,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,5,9,0,0,7.2427,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,6,8,0,0,9.05336,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,7,8,0,0,10.862864,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,8,1,0,0,12.671961,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,9,2,0,0,14.482921,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,10,2,0,0,16.290874,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,11,7,0,0,18.092284,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,12,5,0,0,19.904144,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,13,1,0,0,21.710935,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,14,1,0,0,23.521848,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,15,6,0,0,25.329058,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,16,8,0,0,27.139229,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,17,3,0,0,28.945588,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,18,6,0,0,30.758735,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,19,6,0,0,32.568301,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,20,7,0,0,34.367385,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,21,7,0,0,36.178353,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,22,8,0,0,37.986136,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,23,9,0,0,39.798402,0,,0,NOT_EVALUATED
grupo0_trial2,Pasivo,24,8,0,0,41.609453,0,,0,NOT_EVALUATED
