participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial3,Pasivo,1,2,0,0,0.005454,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,2,9,0,0,1.815536,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,3,4,0,0,3.613018,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,4,2,0,0,5.422502,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,5,1,0,0,7.225025,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,6,4,0,0,9.022326,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,7,9,0,0,10.830115,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,8,9,0,0,12.637426,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,9,8,0,0,14.445762,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,10,4,0,0,16.255552,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,11,8,0,0,18.061859,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,12,6,0,0,19.872486,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,13,5,0,0,21.685807,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,14,2,0,0,23.491817,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,15,2,0,0,25.296181,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,16,5,0,0,27.102464,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,17,7,0,0,28.910696,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,18,5,0,0,30.711933,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,19,7,0,0,32.517996,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,20,9,0,0,34.322841,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,21,6,0,0,36.120098,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,22,6,0,0,37.932882,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,23,4,0,0,39.733169,0,,0,NOT_EVALUATED
grupo0_trial3,Pasivo,24,7,0,0,41.536477,0,,0,NOT_EVALUATED
