participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial1,0-back,1,5,0,1,0.004728,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,2,5,0,1,1.821771,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,3,7,0,1,3.624669,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,4,9,0,1,5.43702,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,5,1,0,1,7.255148,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,6,5,0,1,9.065076,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,7,1,0,1,10.87697,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,8,6,0,1,12.672566,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,9,8,1,1,14.473239,1,657.12,0,HIT
grupo0_trial1,0-back,10,8,1,1,16.283598,1,605.37,0,HIT
grupo0_trial1,0-back,11,6,0,1,18.096028,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,12,9,0,1,19.911195,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,13,7,0,1,21.720276,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,14,3,0,1,23.521571,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,15,2,0,1,25.319094,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,16,5,0,1,27.126385,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,17,8,1,1,28.934285,1,634.52,0,HIT
grupo0_trial1,0-back,18,6,0,1,30.744103,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,19,4,0,1,32.55454,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,20,8,1,1,34.355695,1,502.87,0,HIT
grupo0_trial1,0-back,21,1,0,1,36.156092,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,22,3,0,1,37.968966,0,,0,CORRECT_REJECTION
grupo0_trial1,0-back,23,8,1,1,39.781129,1,508.7,0,HIT
grupo0_trial1,0-back,24,8,1,1,41.588836,1,571.47,0,HIT
