participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial1,2-back,1,8,0,0,0.005178,0,,0,NOT_EVALUATED
grupo0_trial1,2-back,2,5,0,0,1.804418,0,,0,NOT_EVALUATED
grupo0_trial1,2-back,3,4,0,1,3.612067,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,4,6,0,1,5.426382,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,5,2,0,1,7.231419,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,6,6,1,1,9.039977,1,1196.29,0,HIT
grupo0_trial1,2-back,7,2,1,1,10.849163,1,827.15,0,HIT
grupo0_trial1,2-back,8,1,0,1,12.657444,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,9,6,0,1,14.469847,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,10,5,0,1,16.282365,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,11,7,0,1,18.090977,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,12,1,0,1,19.899053,1,841.2,0,FALSE_ALARM
grupo0_trial1,2-back,13,1,0,1,21.714372,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,14,6,0,1,23.521817,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,15,2,0,1,25.3267,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,16,7,0,1,27.138661,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,17,2,1,1,28.95042,1,669.88,0,HIT
grupo0_trial1,2-back,18,5,0,1,30.761876,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,19,1,0,1,32.572525,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,20,5,1,1,34.38546,1,1162.94,0,HIT
grupo0_trial1,2-back,21,2,0,1,36.186135,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,22,2,0,1,37.997931,0,,0,CORRECT_REJECTION
grupo0_trial1,2-back,23,2,1,1,39.811422,1,793.17,0,HIT
grupo0_trial1,2-back,24,2,1,1,41.621151,1,799.15,0,HIT
