participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial2,2-back,1,8,0,0,0.010442,0,,0,NOT_EVALUATED
grupo0_trial2,2-back,2,4,0,0,1.817392,0,,0,NOT_EVALUATED
grupo0_trial2,2-back,3,9,0,1,3.616575,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,4,2,0,1,5.426461,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,5,2,0,1,7.241051,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,6,9,0,1,9.050345,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,7,6,0,1,10.864332,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,8,8,0,1,12.663778,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,9,1,0,1,14.476769,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,10,5,0,1,16.280084,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,11,9,0,1,18.085983,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,12,5,1,1,19.882329,1,1060.0,0,HIT
grupo0_trial2,2-back,13,1,0,1,21.689325,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,14,2,0,1,23.496532,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,15,5,0,1,25.297084,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,16,8,0,1,27.105286,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,17,5,1,1,28.910311,1,1079.96,0,HIT
grupo0_trial2,2-back,18,8,1,1,30.715519,1,867.26,0,HIT
grupo0_trial2,2-back,19,7,0,1,32.529746,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,20,7,0,1,34.334606,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,21,7,1,1,36.143254,0,,0,MISS
grupo0_trial2,2-back,22,7,1,1,37.9518,1,493.79,0,HIT
grupo0_trial2,2-back,23,3,0,1,39.752461,0,,0,CORRECT_REJECTION
grupo0_trial2,2-back,24,7,1,1,41.560897,1,860.49,0,HIT
