participant,mode,trial,digit,is_target,evaluable,stimulus_onset_s,responded,rt_ms,extra_space_presses,outcome
grupo0_trial0,Pasivo,1,9,0,0,0.011292,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,2,7,0,0,1.807376,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,3,3,0,0,3.622986,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,4,5,0,0,5.430615,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,5,2,0,0,7.235484,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,6,2,0,0,9.039016,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,7,6,0,0,10.850819,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,8,1,0,0,12.658938,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,9,1,0,0,14.467519,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,10,3,0,0,16.273831,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,11,2,0,0,18.087387,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,12,3,0,0,19.886029,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,13,5,0,0,21.704142,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,14,1,0,0,23.509181,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,15,1,0,0,25.305875,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,16,5,0,0,27.10786,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,17,7,0,0,28.909476,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,18,4,0,0,30.713099,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,19,4,0,0,32.518863,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,20,8,0,0,34.326701,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,21,6,0,0,36.12514,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,22,6,0,0,37.930458,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,23,7,0,0,39.737578,0,,0,NOT_EVALUATED
grupo0_trial0,Pasivo,24,6,0,0,41.547482,0,,0,NOT_EVALUATED
